Column1,date,temperature_2m_max,temperature_2m_min,sunshine_duration,precipitation_sum,et0_fao_evapotranspiration
69,5/7/1950 3:00,17.202917,8.16125,32085.39,3.7500002,14.867951
70,5/8/1950 3:00,16.319584,8.219583,26836.133,0.41666666,12.380939
71,5/9/1950 3:00,19.177916,7.7862496,38727.332,0.43333337,16.355555
72,5/10/1950 3:00,19.53625,10.03625,49729.906,0,20.7043
73,5/11/1950 3:00,18.844584,8.777917,49899.766,0,17.680511
74,5/12/1950 3:00,21.202915,7.7112503,50121.637,0,14.844288
75,5/13/1950 3:00,21.077917,8.977917,50272.64,0,13.912449
76,5/14/1950 3:00,20.044584,8.5112505,50631.844,0.1,13.700398
77,5/15/1950 3:00,16.444584,7.71125,47759.297,0.8500001,14.349239
78,5/16/1950 3:00,16.677917,6.169583,47235.53,0.16666667,9.501909
79,5/17/1950 3:00,16.63625,6.6029167,36950.57,2.55,11.328
80,5/18/1950 3:00,17.769585,9.611251,19325.033,6.4,13.893467
81,5/19/1950 3:00,16.777916,10.361249,29691.889,1.4166666,13.467976
82,5/20/1950 3:00,22.352915,10.16125,39503.047,0.4,14.959415
83,5/21/1950 3:00,28.18625,12.336249,49520.17,0.18333335,12.21354
84,5/22/1950 3:00,24.219584,14.46125,38827.125,1.0666667,16.02965
85,5/23/1950 3:00,22.227919,12.536248,41989.61,2.5,12.803494
86,5/24/1950 3:00,18.16125,12.052917,25549.99,5.1,15.231591
87,5/25/1950 3:00,22.019583,10.494583,35403.004,4.883333,13.344508
88,5/26/1950 3:00,17.294584,11.377917,24424.24,6.683334,17.243387
89,5/27/1950 3:00,16.177916,10.469583,36157.31,2.8166666,19.89752
90,5/28/1950 3:00,14.194583,9.677917,29068.11,7.65,25.904696
91,5/29/1950 3:00,17.852917,8.494583,45580.594,0.20000003,19.710985
92,5/30/1950 3:00,18.56125,9.361251,44914.25,0.5166667,17.341238
93,5/31/1950 3:00,17.81125,9.277916,47284.137,0.016666668,15.895753
94,6/1/1950 3:00,18.48625,8.877917,45436.55,0.56666666,12.517788
95,6/2/1950 3:00,20.81125,9.13625,48341.484,0,12.617385
96,6/3/1950 3:00,23.102915,10.477917,53138.223,0.016666668,10.518304
97,6/4/1950 3:00,25.169584,11.669582,52761.895,0.73333335,9.504903
98,6/5/1950 3:00,26.502916,13.1779175,53005.86,0.016666668,9.936835
99,6/6/1950 3:00,26.83625,13.744583,53323.52,0,9.300096
100,6/7/1950 3:00,27.36125,14.227917,53025.254,0,7.6021895
101,6/8/1950 3:00,27.119583,15.394584,49359.613,2.9166667,13.109142
102,6/9/1950 3:00,20.952917,13.294583,36843.414,4.65,21.130928
103,6/10/1950 3:00,18.669582,10.43625,44478.76,0.16666667,15.799336
104,6/11/1950 3:00,20.444584,10.369583,53048.895,0,13.870601
105,6/12/1950 3:00,22.502914,9.58625,53752.66,0,13.517524
106,6/13/1950 3:00,25.08625,11.569583,47772.266,0.75,13.914497
107,6/14/1950 3:00,20.786251,15.269584,41807.92,2.6166666,19.665197
108,6/15/1950 3:00,24.16125,13.194584,45842.03,2.5166667,17.686174
109,6/16/1950 3:00,21.402916,13.102916,41591.84,2.6666667,12.405338
110,6/17/1950 3:00,20.61125,12.652916,40979.074,2.4333332,11.649372
111,6/18/1950 3:00,21.094584,12.519582,48792.277,1.4833332,11.126615
112,6/19/1950 3:00,22.027916,12.619583,52239.34,0.16666667,9.773793
113,6/20/1950 3:00,26.077917,13.069583,51721.656,0.29999998,10.640063
114,6/21/1950 3:00,23.577917,15.452916,38246.547,5.683334,21.197021
115,6/22/1950 3:00,18.227917,12.752917,48278.004,2.3666666,27.883017
116,6/23/1950 3:00,18.027918,11.561249,34356.035,4.6333337,23.6701
117,6/24/1950 3:00,18.369585,10.727917,44579.418,0.99999994,21.911585
118,6/25/1950 3:00,19.277918,10.744582,34044.047,3.5,13.602817
119,6/26/1950 3:00,20.177916,11.869582,27191.055,1.2999998,13.63696
120,6/27/1950 3:00,21.68625,14.527916,20763.34,0.7333333,16.592169
121,6/28/1950 3:00,22.08625,16.052916,31412.166,0.6666667,19.225924
122,6/29/1950 3:00,27.377916,15.702916,47021.86,0.1,14.414165
123,6/30/1950 3:00,28.827917,16.744583,53497.25,0.7166667,16.661493
124,7/1/1950 3:00,23.33625,15.794583,49303.03,0.2,15.483977
125,7/2/1950 3:00,24.261251,13.852916,50566.863,0.76666665,11.83129
126,7/3/1950 3:00,26.827917,15.3862505,46251.06,4.1166663,15.439293
127,7/4/1950 3:00,26.577917,17.527916,41601.934,2.6166666,14.9594755
128,7/5/1950 3:00,25.569586,17.26125,29002.182,7.766667,18.763159
129,7/6/1950 3:00,21.619583,16.11125,35268.56,3.6666672,18.00073
130,7/7/1950 3:00,20.702917,14.294583,42364.74,4.766667,15.782886
131,7/8/1950 3:00,21.53625,13.752917,43980.688,0.4666667,12.155292
132,7/9/1950 3:00,26.352919,12.694584,53445.5,0,11.088811
133,7/10/1950 3:00,23.694582,15.03625,42348.973,1.4166666,25.147018
134,7/11/1950 3:00,20.63625,13.427917,43769.98,5.7333336,22.683214
135,7/12/1950 3:00,19.477917,13.319584,43426.09,1.15,23.378462
136,7/13/1950 3:00,21.91958,13.094584,46013.75,0.18333335,13.171086
137,7/14/1950 3:00,24.33625,13.577916,34043.066,9.583333,18.679075
138,7/15/1950 3:00,20.027918,13.527916,38071.707,3.6833334,14.420837
